text,label,label_id
"7imaya oui?.. Oui salam a3likoum Salam Les pompiers ? Oui Les pompiers ta3 bejaia ? Bgayeth, oui an3am vgayeth iih a9lin dagi Boulevard Amirouche Oui Illa yiwen l'poteau athan illa yiwen u poteau n'électricité..ihih.. machi l'poteau, lampadaire, da lampadaire ih boulvard athan thech3el theker dges thimesth thech3el dges thimesth thech3el dges thimesth? iih Athan wa7id le meuble gharnas wa7id le meuble sonatrach ah zrit les lampadaires ni umba3d s3an l'aide ni vert et rouge ih ih 3elmegh iii voilà athan thina premier ni ..aya daccord sa7a merci sa7a",medium,3
l7imaya oui allo? allooo? telephone ittsoni wehdes thfehmed aa sa7a filaman,low,2
"allo? ..allo oui An3em achou yellan ? ya un malade ayi g Sidi Ahmed aniwa wamkan g Sidi Ahmed? .. Sidi Ahmed, achou l'adresse ynek Sidi ahmed G3 Achou thiwghen ? aaah outezmirara meme pas ateker i9erhit Ma3lish. ahid l'arrêt de bus G3 An3am? L'arrêt de bus G3, akdnaf dina .. rouh a3tik saha .. rouh akdnaf din Daccord, sa7it .. sa7a.",high,1
"l7ouma oubazine tezrit amek arakdsehmer tezrit Génie Sider, tesnet Lekhmis la poste ni n lekhmis Ahe tezrit anda tella la gendarmerie ? la poste n Lekhmis ner la gendarmerie? tezrit La poste n Lekhmis aaa .. ih ..aternouted ar zath tuwal n la gendarmerie la poste n Lekhmis adernour ar la gendarmerie sa7it tezrit la poste anda tella la mairie ikel Ahe. Yakhi thella yiweth l'intersection tsalay akayi tuwal lacifa ta3esast ikel .. Ahe ih alimd gesina kan aghtafed net3asakid iwksar achou s3it gukham achou s3it ? Tamghart n yemma ighhelken ah adyefk rebi chfa .. ttetchat mli7 rapide aa",high,1
"les pompier yak? Oui? Rani nesm3ou l'appareil hadik ta3 tressiti ta3 hadik ta3 lgaz tsonner f ighzer ouzarif. Wesh 3andkum l'gaz? nssma3,nessma3 rani kharj l'7ouma nesm3 l'appareil hadik ta3 l'gaz t'sonner, w l'gaz ri7et ta3 l'gaz 9awya bezzaf aah Ddar ta3koum wela ta3 chkoun? Machi dar ta3na, f l'bloc jezt passager Ah d'accord, sa7a sa7a 2650 logts 2650 kan aya d'accord, sa7a Sa7a .",medium,3
"la gendarmerie n oued ghir? juste wahi ttsawent ni iiih Ah d'accord attan dina theghli une3lim ara dachu ttiwghen thewid dwa meskinte Aya d'accord, d'accord Sa7it.",high,1
L7imaya lmadaniya f listima3 oui? asalam A3likoum ma ma3lish adasem ar dayi sidi 3ich exactement g ouad Soummam Dachu yellan? Athan d yiweth tewthitt tomobil meskint t3ach aka mais athan thettwa9rah therez 3limeghara ganida athan gesva7 tt3eyid dayi ih d'accord toura dchey3egh l'ambulance. Sa7a.,high,1
"L'7imaya l'madania, oui. L'7imaya l'madania wich9a adasem ar dagi Ta9aryeth D'achou yellan? Deg Boutagout vouthaguth, yiwen wekhem akenni, je pense yella yiwen ig helken l'Corona dhina Ma3lich adasem attezrem. Corona? Corona, yiwen i7lek Corona vraiment. ah Anda exact? zrid, Ta9aryeth Boutagout?. Eh. Abrid n Boutagout, din yakan asemd kan aknid9avleghl. D'accord, eh D'accord Sa7a.",high,1
Sbah lkhir les pompiers ? an3am ? gla3nayak a9lagh nes3a un malade dayi unezrara ak dachu thyughen ar dayi ar l parck yahouni d9i9a aydefkegh numéro wergaz ayi akidissefhem allo Salam 3likum akhir fellak akhir fellak dayi yakan ar parck ayi les yahouni iwssawen Ayi supérette ni les yahouni ansa ttla3it a seyed? l'urgence l'urgence athan iii ansa ansa?ansa ttla3it vgayeth aa? awwa vgayeth la3i kan ar sidi Aïch gla3nayak aydefkegh kan numéro n sidi Aïch sfehmithen aseyed anida awid kan numéro n sidi Aïch gla3nayak d9i9a aa .. awid kan numéro ni agma ..034 034 86 86 07 80..07 80 en3em eh sa7it aki3eyech rebi ajma3in sa7a sa7it filaman,high,1
"034 09 d9i9a kan aa..oui..034..achu yelan g bni ma3ouch a seyed? 034 09 42 42 91 91 Achu yellan malade eh? Eh, da malade wisen dachu thyughen la crise negh Anda zedghed exact a Beni Maouche ? gigisen Eh, Ait Djissa eh eh, D'accord siwlasen siwlasen adasen sa7it a3tik sa7a en cas d3edara eh 3iwded aya khlass merci beaucoup sa7it sa7a sa7a",high,1
1021 wlach cité monja an3am ii ittema kechi thuhwajet constatation yakhii awa consta au moins consta a9lagh ntt3ich g risque tt3eyechegh imaniw g risque emm wellah g risque ur3limegh esque anemeth negh anehder wellah ma ne3lem ih ih awwa kechi ila9 attrohet wayet service technique lapc ruhegh service technique wlach ila9 déplacert din ma wlach ilekhmis aaa wellah presque ttamusni unes3ara tamussni khati awah ru7 normal akest9eblen normal adefghen ghorek obligé aa amis tfamilt sa7it aa..a3tik sa7a parce que machi nekni igkhedmen anechtheni nuthni thikhedmen ma3lich 3tik sa7a mis tfamilt sam7iyi la3thavik baraka lah fik ki3in rebi sa7it ki3in rebi sa7it,low,2
"les pompiers yakh an3am 3eslama ynek Allah yeselmek. G l3anayak , neki mazouzi ikhedmen akeni g ireyahen.. ih mazouzi ikhedmen g iryahen .. ah, g l3anayak , yiwen l'camion idhem argaz ayi zdakhel obarage tewthath tonobil ? Iyeh, idehmith su camion i3evssith s l'camion i3efsith ? Yakhi les pompiers? Iyeh, i3evsith nagh amek? ifhimmghara? Yakhi les pompiers? Iyeh, d'les pompiers, iyeh G l3anayak tezrit anda tekhedmem dayi g iryahen ar mazouzi ih athane yiwen oussumi idhem acamion ar tawourthiw yakan , ah donc d'accord ih ,ahya gma arwah rapide balak adimne3 D'accord .",critical,0
"Asalamu alaykum. - Salam. - Ah poste transfo trisiti l'virou shi7a, ammi itrou7ou. - Anda? - Poste transfo l'virou shiha. - Wesh l'commune? Wesh l'daira? Dhagi a9lik les pompiers nBgayet. - tazmalt aah tazmaltt. - akdefkegh numero n les pompier tezmalt sfehmithen anwa amkan 034 08..araju..034 08..08..42 42..86..86 d'accord sa7it - Sa7a.",low,2
"Salam ou3likoum . Wa3likoum salam. s3igh dayini aqlin gismis g’l'autoroute, l’entrée n U9vu s3ir un malade dayi . L’autoroute anda? juste at3edit i wuqvu, la rentrée nuqvu, atkechmed g seddou9 . eh L’entrée seddou9 ? biziou? aa at3edit at3edit i wuqvu at3edit i wuqvu , 9rib atkechmet ar l’autoroute itsoufoughen ar Seddou9. Wa7id la pompe à essence agma? At3edit ar la pompe à essence dinna Zeth l’brételle ni isoufouren ar seddou9 yegh u9bou wa7id seddou9 aa ? welleh maslir . Nirakd yegh u9vu a7id seddou9 aa ? Voilà yegh u9vu wa7id seddou9 9riv atlehqem ar l'brételle ni n seddou9 le sens Vgayeth vers Alger negh Alger vers Vgayeth? Alger vers Vgayeth. Alger vers Vgayeth, d’accord d'accord eh A9lar dina sa duster d'averkan. Duster? Duster? Eh, de Duster d’averkan. D'accord eh en urgence! 2 éme appelle al akh wellah 3eyetlek berk dourk tema f laou9ase eh yiwen sin athen dina guvrid nagoudron l'hôtel n'Refuge gedged . dachou yellan? at3edit i la station l'hôtel n'Refuge ila yiwen seyed dhina ittett le goudron. Yiwen ittett goudron ? eh athen igouma adiker zeth ’l’hôtel n’Refuge gedged Ansi garin les sumis ni Eh oumbe3d ites? Isker ner amek ? Isker, isker ittett le gudron tla3iras adiker itréspiri itgami adi réponder . ouMbe3d ijra7 ner khati? Ah? . Ijra7 ner khati ? a Khati ijri7ara ittett l goudron D'accord, d'accord D'accord aya7viv awimth ar svitar ner Aweh athnawi ar sbitar eh .",high,1
"Allo. - An3am ih llah ghir nes3a un malade ighliyagh dayi g thhanut gelqouds - gelqouds lou3and nighas wlh ma nes3a les ambulance actuellement atan occupé. - Ya ilou3ayakd d wayetnin, illa yiwen i3ayed 115 daghen ulach. - 034 1115 15. - 034 1115 15? - Ih, 3awed la3id i numéro-ayi daghen. - D'accord, sahit.",high,1
allo l7imaya lmadania tech3el tech3el g dounithik aa esme3 numéro ynek athen da ghourner toura asenla3ir i la police,low,2
Allo? An3am Les pompiers n le9seur? vgayeth? vgayeth achou igelan ? athan dayi ila yiwen ighli iss3a l'crise d'épilepsie. Anda? Daya kan boda dibi Akdekegh numéro nsen a seyed sfe7mithen anida? Marki kan numéro 034..034 82..82 35..35..65 65 06 34 00 34 82 35 65 les pompiers. D'accord sa7it sa7a. Sa7a.,high,1
an contacte l'unite n kherrata anzer la3nayak negh mulach ma yellad kra aka chwiya ayd3ewdegh gla3nayak athan welah ighadiyi meskin athan dasemid l7ala wlh izmer dimeth anzer nchallah a mon frere nchlh adir7em rebi lwaldinik adirnu lwaldinik sa7it agma sa7it beslama sa7a,high,1
"Khedam f le9ser woullah ah khasni urgent abalek tbela3 3eliya el bab hak marki numéro ta3 le9ser 034..034 82 asber de9i9a a chef berk..ih 3482 36 36 , 65 .. ah ?? 65 66 ?? 65 woullah ma sm3tek 65 65 trés bien merci 3elik sa7a",low,2
"Allo? -Allo oui an3am. -Salam u3likum. -Wa3likoum salam, les pompiers n Bgayeth?- Ih,nes3a wayetnin yemma ttwara7 attnawi ar sbitar -anda?, -aqlagh imehdiyen.- imehdiyen - Ih, -imehdiyen Donc, wa7id Cité Douanière? -eh a3tik sa7a eh - Wachou la famille a seyed ? -Ouaret. -Ouaret? -Ih. -aghteket repair dina g Imehdiyen ? - Ah? aniwa amkan exact a ? Abrid ni isoufoughen a tizi .- Wachou la famille ? Famille Ouaret aken aghdi3as dina hed aken- ah ? - aghdi3as 7ed kan achey3er l'ambulance -D'accord, ih. Alimd kan sidda akound3aser dina g kham Sa7a.",high,1
"7imaya madania Allo ! Allo salam a3likoum a3likoum salam wara7matou lah wa7ed dar crise hnaya, m3a ledimco , m3a photographe hder s the9vaylith a gma hder s the9vaylith nighak yiwen ikhdem une crise, aniwa Amkan exact ? Ledimco wa7id l photographe, techno thesnet techno ? Non , g vridh ni Kan n sou9 akeni wa7id l photographe, g vrid ni n sou9 dasawen ? An3am ? Dina g vrid ni n sou9 ? Ih , sur la gauche direct ! Wa7id techno ! D'accord Oki , Sa7a , 3asith kan dina, imanis kan igela ?",medium,3
"7imaya oui , allo salam 3likoum. - Salam. - S3ir dayi g la cité Djama tche3l thmessth g khyout n tricité, l'extérieur. - Cité Djama ? - .. à l'extérieur eh - D'accord - au 3ème cartier- D'accord saha. - Sa7a.",medium,3
"Allo? Oui l'pompiers Salam aleykoum salam warahmatou lah anita l'7imaya l'madaniya? Les pompiers n Bgayet a Madame, les 4 chemins vgayet, a9lin dayi g El Kseur ich3eliyide ukuntur triciti athan yergha ukith Aniwa mkan g El Kseur a Madame? Aqlagh wa7id Berqouqi A Madame, ma3lich amdefkegh numéro El Kseur sawtasen asentssfahmet anda amkan exact, ma3lich? awithid.. 034 034.. 82 83 ..35 65 82 35 65. C'est bon a Madame? Sa7it Sa7it a madame.",high,1
Allo? 7imaya madania . - Allo - Oui les pompiers n Bgayeth an3am ?- Allo - Oui les pompiers n bgayeth . - Allo! Allo 3ejlem athan thulid premier etage! - Achouth ? - thimest thimest thulid ar les premier étage! - a Madame c'est bon Anen dayi les secours ahan le7qen thoura adle79en les secours t3atilnara . -goumen ad le79en t athen thulid ar le premier étage - C'est bon madame cheyraghed les secours ahnen tedound a madame! .,critical,0
salam Les pompiers ? an3am eh Athan ighli yiwen da s la moto sa3dal a9riv lota Sa3dal a9riv lota? Dina 9riv sa3dal lota g palizi ..palizi? Mouhim toura asefkegh numéro ynek aa souq el tenine i9erven dina yakhi aou9as ?.. khati bourdj mira itheqrev bourdj mira? ihh d'accord athan gelqa3a ih d'accord aseyed,high,1
7imaya oui allo aou9as ? bejaia a madame tichi ? rouh marki numéro n tichi ih .. 034 81 67 58 ..58 sa7it bla mziya .,low,2
"oui les pompiers n Bgayeth ? Adalim ar Boumbara, yeli thdukh thguma ydekwel.,,, Amak? Zari ? la famille Zari ? Boumbara chu gellan dinna ? yelli theghli thdukh thguma yedekwel Anda zedghed ? Anda exacte dayi d Bgayeth ? a zedghegh g oued Amizour. Aru7 marki numéro oued Amizour dayi Bgayeth. Da Bgayeth? ach7al oued amizour? sifer reb3a wetlathin sifer Thmenya .. sifer Thmenya seb3a w seb3in seb3a w seb3in rbe3tach rbe3tach ..034 034 08 08.. 77 77? 77 14 D'accord, sa7a.",high,1
"Salam..agma .. ghouri yiwen ou amotine Amghar n vava d amotine, ih .. uyzmirara..aniwa amkan ? Déjà ila uytekar ara..Bach athawigh ar svitar Aniwa amkan ? G les Milles, les Milles logements, ih , wa7id l djame3 ni bornine, l djame3 bornine.. ih , wa7id Esperanza ni n zik, ih.. Esperanza iwksar chwia en face l Cem ni gedged ? A3tik Sa7a ih ! Wachu la famille ? Neki boumedda..! Boumedda ? Donc en face l Cem ni ! Wachou l bâtiment ? L bâtiment L 10 ..L10 ? ..an3am ih .. aght3asset Dina !.. an3am ih , d'accord , Barak allahou fik ..sa7it agma..inayak at3aset Dina..",high,1
"Allo oui l'7imaya l'madania Allo salam a3likom ma Ma3lich ad ro7em athen dagi de l'bus ignne9laven Anda? En face n winna n l'fac Aboudaou ar wevrid nni L'université Aboudaou? An3am i El bus ine9laven aa? ..lbus inealaven ine9lav athan dagi 3la 7sav ayen ttwaligh au moins, au moins dix blessés igellan aww ih D'accord toura dchey3egh Sa7a.",high,1
"a9lagh ne7sel dayi g chlaten marki akdefkegh numéro n'les pompiers n we9bu ah? marki akdefkegh numéro les pompiers we9bou..asver aa : 034 034 18..18.. 75 75?.. 68 75 68. . imsawen g cheladen mati ith7eslem aa gedrar aa?, ih madi iii 9imentagh a rebi Wa7ed 15 mettre anefegh l'intersection ayi anawed ar le plat a9lagh nehsel ih ma3lich nighak la3ithasen kan asen la3in i ladtp ni ad chey3en a camion sa7it sa7a",low,2
"Allo secours rahi 3andi - Anda? - a partir l'post, agression, thfehmet? -outhentt? - I9erak iweth yiwen u9chich s la bière u9eruy. - S l'bière u9eruy aah? - Allah yestar, yestar zrit..L'unité Borj Mira, yakhi? - Secours routier Secours routier Borj Mira 15h14 ach7al? - 15h14 15h14. - D'accord.",high,1
"L'7imaya oui?- Allo! - allo L'7imaya oui, oui? - Salam Alaikoum l'himaya dayi gher feu rouge gher la DGS, gher l festival ni - Eh? - L festival ni, bon ya une femme dagi enceinte de 3 mois, tes3a un malaise. - oui wahi la DGS? - Dakhel, s dakhel ni, aqlagh dina s dakhel un malaise d'une femme enceinte de 3 mois, d'accord? - D'accord, sa7a, aqlagh nettraju .",high,1
"7imaya oui -salam 3likoum - Salam. -aa Les pompiers ner ? - Oui. - L'Kseur? - khati , Bgayeth. - Donc nlou3ad sa fais wa7ed n 15 minutes, y'avait un accident de circulation yakhi aka une vieille dame, donc lou3ar izglinar athen oudilhiq hed - anida a seyed ? - An3am? - Ani, ani exact g le9ser. - amek isms amkan agi exactement gla3nayak ? En face la foire ta9dimt - en face ? -Sou9 el fellah. La porte ta9dimt exact, Souq el fellah. Ça fait, ça fait 15 minutes idil7i9 oumad7ed - D'accord,thoura asenla3ir i le9ser - eh gla3nayak skivim l'possible - un blessé iyelan yakhi ? - eh eh une vieille dame, donc cliniquement oulach oumadekra mais preference adyase protection civile donc - Sa7a - ansuri le déplacement. - sa7a -Sa7a sa7a.",high,1
"Allo ? Ih, ih, ketch idinan akdchey3er ah ? Ih,- otcheye3tara outcheye3tara - Kaverna Rougi - Kaverna aRougi ? - eh ketchi ner machi ketchi ? -machi neki Idouktoura s3ant rdv ar docteur Kaci. -conjer netta. a s3it rendez vous ar ghoures ? 3elmer congé Ih, athen congé netta . Attaset ghoures a? athen congé. i dwa ynek swit ner mazel ? Swirtt swit ? -ih - aya bien ihi s3it zher a mourad asayi lah s3it zher a mourad . -Dachou hedrer didek dayi normal ? Ih. D'accord,filaman filaman.",low,2
Oui Azul Azul les pompiers nevghayeth nek n tmezrith novayno n timezrith oui tmezrith novayno Eh wellah ar degma igehelken ighli gekham déjà is3a un problème g ullis d9i9a agedla3in shab n tmezrith d9i9a ur tcopi ara d'accord.,high,1
"Allo Salam 3likum ma3koum l'7imaya l'madaniya, an3am? Wa3likoum esalam, i ila dayi yiwen u9chich ighli ighli s vélo ganida exacte madame? Wa7id les 600 les 600 dayi deg aa wina après l'Edimco les 600 a daccord an3am l'aree 600..an3am iii est ce que iblessi mli7? Ah ighli kan ijre7 kan chwiya chwiya ttema mashi blessure grave? ih mais ,mais ighli g 9eroyis ighli g 9eroyis izmer l7al izmer l7al grave negh 3limrara neki l'essentielle athan dayi athan dayi wa7id les 600 d'accord",medium,3
Allo ? Allo les pompiers ? Ouais gla3nayak Ased aa ased aa ar wayetnin ar sid ali leb7er ar 140 logement aa thehlek lahlak wul crise Sidi Ali ali lb7ar ? non 140 logements allo? Ouais 148 ? 140 ? 140 logements ? 140 logements Dachu s3id ii ? Dachu lbloc ?Dachu lbloc ? anwa lbloc wayi ? Anwa bloc ? 3elas 140 logements lan wa7ed 3 les blocs kan ih dachut? adefghegh dina ghuvrid adefghed savrid? ? Eh dachu thyughen lmalade agi ink? Dachut ithyughen alehlak wul iiih Dachu i thyughen? Dachu igess3a ? athetfith La crise La crise ? Iss3att avant ngh khati la crise l'epileptique iiih arwa7 tura assid umb3ad se9ssi ayhooh akidse9ssigh iwakn aydinid ytt3egidara aydssefhmed dachu gellan izmer akindiregigh dachu thkhedmed wadezregh nki dachu kincheg3gh thfehmediyid? iih thetfith la crise wul mlih ih voilà thwalad thella la crise wul thella ruuh athan tfeghth cursa aruh 3ased sivera 3ased sivera,high,1
"L7imaya l'madaniya? An3am agma, oui. Aki n3am rabbi slkhir. thella L'accident dayini s la moto yiwen ine9rat utaris a9lagh dayi swaswa avant d'arriver la station de desalement de l'eau de mer Iwa7ed tt9enterth nni saket? gherdha gherdha , atan g bou7i. chu thyughen exacte? - ila s la moto nanak iwthith yiwen s tomobile irwel a d'accord la moto d tomobile ayweh tomobile ni throh aka déclarin l3ibad a d'accord d'accord athen tedound l'ambulance ..d'accord sa7it sa7a ..sa7a",high,1
"Allo. - salam wa3likoum. -3likoum salam.- Les pompiers ? -An3am agma oui. -A athen tela l'accident dina la decharge gubrid le9ser .- la decharge akdeker numero n El Kseur, wanti la decharge ?- La decharge nubrid le9ser la decharge oubrid oued amizour ar le9ser - ehe - Tomobil tqleb la moto. -Ah d'accord, llan les blessés ? -Ah grave wellah ghir eghseb - D'accord, sa7a sa7a.- Sa7a .",high,1
"Allo, l7imaya lmadania f'ilstima3 oui ? ..allo ma ma3lich adssem arda Tazmalt! avrid igetawin ar tazmalt ar wu9vu dachou ilan ? athan snat n tomobile ikhedmen l'accident oumbe3d lan les blessés? Athan wa9ila yiwen deg sen yemuth akiya wayedh nni n-blessé chhal ttema? sin ? eh g Sin yidsn! Yiwen je pense imuth ogit7erikara wayetnine il est blessé d'accord eh",high,1
"L'7imaya l'madaniya f'listima3 Oui, mselkhir Ila dayi yiwen chadi iveki? yiwen ibki dayi wa7id mangin An3am? Dachu thyughen? Dayi i coincé i coincé wa7ed tewourt ennii n la rentrée bach atkshmed t'wa7id tajbant nni ih la Croix ulamek aa ulamek ulamek i nseya amk athnekes ulamek..",low,2
Allo? salam 3likum a9lagh thella l'accident dayi wa7id polyvalent ..dachu yellan exacte? wa7id polyvalent lycée exact attan dayi yiweth te9chichth thebléssi tomobile ittiwthen aa? khat arwa7 thoura att3elmet 7edriyid dachu yellan Bach ad 3elmgh dachu akdsufghegh khati nettath dakhel tomobile iwthittid l car umb3ad l'bare brise ni ighlid fellas ighlid l bare brise fellas d'accord sa7a sa7a allo Salam 3likum a chef chef chef ..an3am? a9li yidsen souciuriste s3an yiweth defir ar l'arriere s3a un malaise s3a un choque g 9eroyis d'accord d'accord sa7a a9lagh ar portail Exact n polyvalent d'accord sa7a sa7a sa7aynek,critical,0
"Asalam u3alaykum, m3akum l7imaya lmadaniya, ne3am? Ah dayi g sidi ali leb7ar, wa7id la residence nni.. - Eh? - Illa yiwen yagressi wayet, umbe3d iwtith sel mous Eh? Est-ce qu'il est conscient? A del jeune, yeghli g'l9a3a, il est conscient mais itwedjra7 g 3abboutis, dina iwthath d'accord ma ma3lich rapide parce que athen athen t3almet, l'cas chwiya urgent, urgent toura dchey3egh l'ambulance Eh, d'accord, sa7a.",high,1
"teghli gel9a3a Athen ta9chichtiw 9riv temouth l'electricité . Anida? Dayi l'intersection Boukhandous. Achou la commune? Achou la daira? La commune Melbou Melbou. Melbou l'intersection Tizi El Oued. Ah d'accord. Marki les pompiers n'Souk El Tenine asensfehmet anda wumkan ni 034 .. Ach7al numéro n Souk El Tenine? 034 - T9i9a - 09 - 36 - 13. 36 13, d'accord.",high,1
"Accident moto hnaya li lancenah me9bila ya3wdou ijiw bark Bon, soufel l pont Aboudaw, yakhi? Ma nehkich ma nefhemch qbayliya Fouq l'pont ta3 Aboudaw Le pont ta3 kima jami3a Eh, ok rana jayin sahit Sahha.",medium,3
"Allo? ..allo oui Salam 3likoum Salam gla3nayak agma toura id3edar atefret abird tfer abrid n wuqvou fregh dayi g Sidi Aïch . atafet dina anda iges3a Berra anda tela la sortie n l'autoroute ar maratefret ar lijouwah akith ila yiwen apoteau ch3el dhyes tmess mais machi akeni mlih ner mais bon c'est un début Ma3lish, athen tedound ar ghoures tedound ar ghoures a ? oui Sa7a sa7it agma.",medium,3
"La moto ? La moto ih L'arret jute. ih slir entre quoi et quoi ? Dachou illan ? Aa la moto yeghli dina. Imanis kan ? Imanis, ih. ighli imanis Achhal les blessés ? Yiwen ? Ah yeghli netta kan yewen iblessi aa ? ighli aka kan itle9 itle9 ? D'accord. Anda exact ? L'adresse exacte. dina ila le jute zeth Sou9 lmal n bedatt ubrid ame9ran kan akkayi . Sou9 lmal ? Ih. D'accord. Sa7a.",medium,3
"Salam 3likoum yidewan, l'7imaya l'madania an3am? aa S'il vous plaît dayi wa7id illa yiwen u9chich damezyan i3el une intoxication itcha kra oumba3d irad dayi, irad wa7id ganida a madame? fkiyid l'adresse ma ma3lich Wa7id remla, wa7ed cité remla après cite Remla? Eh, Remla ih g remla zrit l'poteau n'tirsiti dina, anda illa takhamt n'tirsiti. Dachu? Ittarad ittarad ma ma3lich s'il vous plait urgent D'accord madame toura dcheg3egh l'ambulance Sa7a.",high,1
Les pompiers ? ..an3am? aki3eyech rebi Ila yiwen upoto dayi cartier sghir ih.. tellement is3a Couvert ni kechmen waman arzakhel yarna athan thech3el zyes tefghit temlehth theterti9 ikel..aniwa mkan? ilyes Bijou wa7id thhanutt Ilyes bijoux cartier sghir le grand boulevard..ih bon elyes Bijou ayi ittvin aa? ttvin ttvin la quincaillerie ni benzenati les pompiers 9etond fellas ttema snentt la quincaillerie ih thella ii en face la quincaillerie ni ..akhi anda thela la cnes aa issmiss anda thella la cape la la l'assurance aywaaaa exact l'assurance la cape umb3ad la bijouterie ni negh nighak athan dina l'poto ich3el dges thafath apres tellement thech3elem dges thafath Éclairage public nagh achuth Éclairage public i..a oui Ii attagadet adi3edi 7ed athitouchi negh kra aaa d'accord oki aya sa7it tura n3as sonalgaz d'accord sa7it sa7it,medium,3
l7imaya An3am conversation en arrière-plan,low,2
