Chemin,Transcription
A037_M08_2.wav,khdhem
A037_M08_3.wav,Mett3amedh
A037_M08_4.wav,thekhdhem i wayen thezmer
A037_M08_5.wav,Yeweth-ith mett3emedh
A038_M09_1.wav,m
A038_M09_2.wav,Meden
A038_M09_3.wav,Mebla
A038_M09_4.wav,Oulach atas meden dhina
A038_M09_5.wav,Irou7 melba isourdhiyen
A039_M10_1.wav,m
A039_M10_2.wav,Moucha3
A039_M10_3.wav,Mkhalfa
A039_M10_4.wav,Moucha3 yisem-is dheg thalith-ni
A039_M10_5.wav,Thirga mkhalfa
A044_J15_1.wav,j
A044_J15_2.wav,Jedi
A044_J15_3.wav,Irij
A044_J15_4.wav,Yettagh jedi atas yidhrimen
A044_J15_5.wav,Isewedh akbal dheg thirij
A048_Q04_1.wav,9
A048_Q04_2.wav,Se9cher
A048_Q04_3.wav,L9et
A048_Q04_4.wav,Ise9cher-dh thatchinath
A048_Q04_5.wav,Le9ten azemour
A050_Q06_1.wav,9
A050_Q06_2.wav,ghle9
A050_Q06_3.wav,3ele9
A050_Q06_4.wav,fegh ghle9 thawourth
A050_Q06_5.wav,Th3ele9 iman-is a thzemourth
A050_Q07_1.wav,9
A050_Q07_2.wav,thle9
A050_Q07_3.wav,7re9
A050_Q07_4.wav,Thethle9 dheg thekhamth-is thettferidj
A050_Q07_5.wav,Ye7re9 yilemzi gher fransa
A051_Q08_1.wav,9
A051_Q08_2.wav,ghre9
A051_Q08_3.wav,9bala
A051_Q08_4.wav,Yeghre9 dheg wasif
A051_Q08_5.wav,Irou7 9bala s akham
A052_Q09_1.wav,9
A052_Q09_2.wav,9rib
A052_Q09_3.wav,9sadha
A052_Q09_4.wav,9rib adh il7e9 s akham
A052_Q09_5.wav,Irouh 9sadha s agherbaz
A054_Q11_1.wav,9
A054_Q11_2.wav,L9is
A054_Q11_3.wav,Thou9na
A054_Q11_4.wav,Yetef l9is n thsebath-is
A054_Q11_5.wav,Thou9na i th-ye9en mli7
A055_M08_1.wav,m
A055_M08_2.wav,khdhem
A055_M08_3.wav,Mett3amedh
A055_M08_4.wav,thekhdhem i wayen thezmer
A055_M08_5.wav,Yeweth-ith mett3emedh
A056_M05_1.wav,m
A056_M05_2.wav,khemer
A056_M05_3.wav,soumeth
A056_M05_4.wav,thkhemer l9ech n wayethma-s
A056_M05_5.wav,thsoumeth thasoumtha n rich
A057_M01_1.wav,m
A057_M01_2.wav,Mager
A057_M01_3.wav,Mchet
A057_M01_4.wav,Imouger-dh le7bab-is dheg oubridh
A057_M01_5.wav,Themchet achekou7-is s thselakth
A057_M02_1.wav,m
A057_M02_2.wav,Meni
A057_M02_3.wav,Mekthi
A057_M02_4.wav,Yettmeni adh thekfou cheda fel-as
A057_M02_5.wav,Yemektha-dh lehdhour yema-s
A058_M06_1.wav,m
A058_M06_2.wav,Rdhem
A058_M06_3.wav,9wem
A058_M06_4.wav,therdhem seksou n na3ma
A058_M06_5.wav,ye9wem wayen thekhdhem
A060_M09_1.wav,m
A060_M09_2.wav,Meden
A060_M09_3.wav,Mebla
A060_M09_4.wav,Oulach atas meden dhina
A060_M09_5.wav,Irou7 melba isourdhiyen
A061_D06_1.wav,dh
A061_D06_2.wav,Ndhef
A061_D06_3.wav,Fedekh
A061_D06_4.wav,Yesendhef-as ldjer7-is
A061_D06_5.wav,Iweth-ith s oublat ifedekh-ith
A061_D05_1.wav,dh
A061_D05_3.wav,Wedef
A061_D05_5.wav,Iwedef-as abidhoun adh th-idh yetchar
A062_D07_1.wav,dh
A062_D07_2.wav,Izdhig
A062_D07_3.wav,Ldhi
A062_D07_4.wav,Sizdheg thawouourth-ik
A062_D07_5.wav,Yeldhi ak thiwoura n thekhamin
A062_D08_1.wav,dh
A062_D08_2.wav,Bed
A062_D08_4.wav,Ibed ghef oumnar n thewourth
A063_D09_1.wav,dh
A063_D09_2.wav,Derya
A063_D09_3.wav,Daw
A063_D09_4.wav,As-dh-yerza9 rebi derya isel7en
A063_D09_5.wav,A9lagh ak daw le3naya rebi
A063_D08_1.wav,dh
A063_D08_3.wav,Dehn
A063_D08_5.wav,Thettara dehn i wayen yelan
A064_D10_1.wav,dh
A064_D10_2.wav,Di9
A064_D10_3.wav,Dhnoub
A064_D10_4.wav,"Akham-nsen mezi, zedhghen dheg di9"
A064_D10_5.wav,Adh as-yeghfer rebi dhnoub-is
A064_D11_1.wav,dh
A064_D11_2.wav,Dhwam
A064_D11_4.wav,L9ech n bera thera-then i dhwam
A065_D12_1.wav,dh
A065_D12_2.wav,Dou7
A065_D12_3.wav,Adherwich
A065_D12_4.wav,Indjer-dh dou7 s ousghar
A065_D12_5.wav,Ye9el dh adherwich dheg thadarth
A065_D11_1.wav,dh
A065_D11_3.wav,Dhre3
A065_D11_5.wav,Yesekhdham dhra3 ghef imezyanen
A066_D13_1.wav,dh
A066_D13_2.wav,Thadarth
A066_D13_3.wav,Thezdheg
A066_D13_4.wav,Nejma3en wath thadarth adh froun ougouren-nsen
A066_D13_5.wav,Thett7ibi thezdheg
A066_D14_1.wav,dh
A066_D14_2.wav,Thadhouli
A066_D14_4.wav,Thesbour thadhouli i mi-s
A067_D15_1.wav,dh
A067_D15_2.wav,Adhaynin
A067_D15_3.wav,Ibedi
A067_D15_4.wav,Ayen n zyadha athan dheg oudhaynin
A067_D15_5.wav,I9re7-ith ou3rour-is s ibedi
A067_D14_1.wav,dh
A067_D14_3.wav,Afedikh
A067_D14_5.wav,Yetcha afedikh 9rib yewet gher lmouth
A068_D01_1.wav,dh
A068_D01_2.wav,Dou
A068_D01_3.wav,Dem
A068_D01_4.wav,Andha irou7 baba-s adh yedou
A068_D01_5.wav,Thedem ayen thou7wadj kan
A068_D02_1.wav,dh
A068_D02_2.wav,Del
A068_D02_4.wav,Yedel snath n th7ouyak
A069_D03_1.wav,dh
A069_D03_2.wav,Dez
A069_D03_3.wav,Dh3en
A069_D03_4.wav,Thedez kra n theskerth
A069_D03_5.wav,Thedh3en thettes l9ahwa thaberkanth
A069_D02_1.wav,dh
A069_D02_3.wav,Dhhen
A069_D02_5.wav,Thedhhen seksou s dhhan
A070_D04_1.wav,dh
A070_D04_2.wav,Der
A070_D04_3.wav,Derghel
A070_D04_4.wav,Yeder sin wousan kan imouth
A070_D04_5.wav,Yeweth-ith gher thit yesdherghel-ith
A070_D05_1.wav,dh
A070_D05_2.wav,Bedel
A070_D05_4.wav,Yal thaswi7th nettath dh abedel
A074_D15_2.wav,Adhaynin
A074_D15_3.wav,Ibedi
A074_D15_4.wav,Ayen n zyadha athan dheg oudhaynin
A074_D15_5.wav,I9re7-ith ou3rour-is s ibedi
A074_D14_3.wav,Afedikh
A074_D14_5.wav,Yetcha afedikh 9rib yewet gher lmouth
A075_Q01_1.wav,9
A075_Q01_2.wav,9adher
A075_Q01_3.wav,9e33edh
A075_Q01_4.wav,Yett9adhar ak meden
A075_Q01_5.wav,9e33edh iman-ik
A075_Q02_1.wav,9
A075_Q02_2.wav,9fez
A075_Q02_4.wav,Ye9fez ou9chich dheg lkoulij
A077_Č07_1.wav,tch
A077_Č07_2.wav,Ntchew
A077_Č07_3.wav,Sfitchew
A077_Č07_4.wav,Yentchew ak ouchekou7-is
A077_Č07_5.wav,Ichat-ak asfitchew dhina
A077_Č09_1.wav,tch
A077_Č09_2.wav,Atchanyar
A077_Č09_3.wav,Tcha9lala
A077_Č09_4.wav,Ikhdhem atchanyar gar ikhedamen-is
A077_Č09_5.wav,Ikhdhem tcha9lala ghef woulach
A078_Č07_1.wav,tch
A078_Č07_2.wav,Ntchew
A078_Č07_3.wav,Sfitchew
A078_Č07_4.wav,Yentchew ak ouchekou7-is
A078_Č07_5.wav,Ichat-ak asfitchew dhina
A078_Č09_1.wav,tch
A078_Č09_2.wav,Atchanyar
A078_Č09_3.wav,Tcha9lala
A078_Č09_4.wav,Ikhdhem atchanyar gar ikhedamen-is
A078_Č09_5.wav,Ikhdhem tcha9lala ghef woulach
A079_Č09_1.wav,tch
A079_Č09_2.wav,Atchanyar
A079_Č09_3.wav,Tcha9lala
A079_Č09_4.wav,Ikhdhem atchanyar gar ikhedamen-is
A079_Č09_5.wav,Ikhdhem tcha9lala ghef woulach
A079_Č11_1.wav,tch
A079_Č11_2.wav,Afatchaw
A079_Č11_3.wav,Asentchew
A079_Č11_4.wav,"A9chich-a dh afatchaw, yett7iwil lehdhour"
A079_Č11_5.wav,Thfouk asentchew iyouzat
A080_Č11_1.wav,tch
A080_Č11_2.wav,Afatchaw
A080_Č11_3.wav,Asentchew
A080_Č11_4.wav,"A9chich-a dh afatchaw, yett7iwil lehdhour"
A080_Č11_5.wav,Thfouk asentchew iyouzat
A080_Č12_1.wav,tch
A080_Č12_2.wav,Astchewtchew
A080_Č12_3.wav,Atchouran
A080_Č12_4.wav,Barka-k astchewtchew ab7al dh afroukh
A080_Č12_5.wav,Dh atchouran mi-s amou9ran
A081_Č11_1.wav,tch
A081_Č11_2.wav,Afatchaw
A081_Č11_3.wav,Asentchew
A081_Č11_4.wav,"A9chich-a dh afatchaw, yett7iwil lehdhour"
A081_Č11_5.wav,Thfouk asentchew iyouzat
A081_Č12_1.wav,tch
A081_Č12_2.wav,Astchewtchew
A081_Č12_3.wav,Atchouran
A081_Č12_4.wav,Barka-k astchewtchew ab7al dh afroukh
A081_Č12_5.wav,Dh atchouran mi-s amou9ran
A082_Č11_1.wav,tch
A082_Č11_2.wav,Afatchaw
A082_Č11_3.wav,Asentchew
A082_Č11_4.wav,"A9chich-a dh afatchaw, yett7iwil lehdhour"
A082_Č11_5.wav,Thfouk asentchew iyouzat
A082_Č12_1.wav,tch
A082_Č12_2.wav,Astchewtchew
A082_Č12_3.wav,Atchouran
A082_Č12_4.wav,Barka-k astchewtchew ab7al dh afroukh
A082_Č12_5.wav,Dh atchouran mi-s amou9ran
A083_Č13_1.wav,tch
A083_Č13_2.wav,Ametchim
A083_Č13_3.wav,Thatche3ninth
A083_Č13_4.wav,Yeka-th oumetchim dheg thadarth
A083_Č13_5.wav,Awar as-dh-thekchem thtche3ninth-is
A083_Č14_1.wav,tch
A083_Č14_2.wav,Thatcharth
A083_Č14_3.wav,Thoutch7a
A083_Č14_4.wav,Yekfa thatcharth waman
A083_Č14_5.wav,Dh thoutch7a i thetcha7 gher oukham n baba-s
A084_Č13_1.wav,tch
A084_Č13_2.wav,Ametchim
A084_Č13_3.wav,Thatche3ninth
A084_Č13_4.wav,Yeka-th oumetchim dheg thadarth
A084_Č13_5.wav,Awar as-dh-thekchem thtche3ninth-is
A084_Č14_1.wav,tch
A084_Č14_2.wav,Thatcharth
A084_Č14_3.wav,Thoutch7a
A084_Č14_4.wav,Yekfa thatcharth waman
A084_Č14_5.wav,Dh thoutch7a i thetcha7 gher oukham n baba-s
A085_Č13_1.wav,tch
A085_Č13_2.wav,Ametchim
A085_Č13_3.wav,Thatche3ninth
A085_Č13_4.wav,Yeka-th oumetchim dheg thadarth
A085_Č13_5.wav,Awar as-dh-thekchem thtche3ninth-is
A085_Č14_1.wav,tch
A085_Č14_2.wav,Thatcharth
A085_Č14_3.wav,Thoutch7a
A085_Č14_4.wav,Yekfa thatcharth waman
A085_Č14_5.wav,Dh thoutch7a i thetcha7 gher oukham n baba-s
A086_Č13_1.wav,tch
A086_Č13_2.wav,Ametchim
A086_Č13_3.wav,Thatche3ninth
A086_Č13_4.wav,Yeka-th oumetchim dheg thadarth
A086_Č13_5.wav,Awar as-dh-thekchem thtche3ninth-is
A087_Q13_1.wav,9
A087_Q13_2.wav,Thi9ith
A087_Q13_3.wav,Sou9
A087_Q13_4.wav,Ala thi9ith waman i dh-yegran
A087_Q13_5.wav,Yettrou7ou gher sou9 sba7 zik
A087_Q14_1.wav,9
A087_Q14_2.wav,L7a9
A087_Q14_3.wav,Lebra9
A087_Q14_4.wav,Our dh-yeni kra ala l7a9
A087_Q14_5.wav,Dhefir lebra9 yettas-dh ra3dh
A087_Q15_1.wav,9
A087_Q15_2.wav,A39ou9
A087_Q15_3.wav,Le7ba9
A087_Q15_4.wav,Thekes a39ou9 n thebseltt
A087_Q15_5.wav,Thesekhlat le7ba9 i lmakla-s
A088_Q01_1.wav,9
A088_Q01_2.wav,9adher
A088_Q01_3.wav,9e33edh
A088_Q01_4.wav,Yett9adhar ak meden
A088_Q01_5.wav,9e33edh iman-ik
A088_Q02_1.wav,9
A088_Q02_2.wav,9fez
A088_Q02_3.wav,9im
A088_Q02_4.wav,Ye9fez ou9chich dheg lkoulij
A088_Q02_5.wav,Our yezmir adh ye9im dheg yiwen oumkan
A088_Q03_1.wav,9
A088_Q03_2.wav,9mech
A088_Q03_3.wav,Se9bech
A088_Q03_4.wav,Ye9mech alen-is
A088_Q03_5.wav,Thse9bech-dh kra lkhedhra
A095_Q07_1.wav,9
A095_Q07_2.wav,thle9
A095_Q07_3.wav,7re9
A095_Q07_4.wav,Thethle9 dheg thekhamth-is thettferidj
A095_Q07_5.wav,Ye7re9 yilemzi gher fransa
A095_Q08_1.wav,9
A095_Q08_2.wav,ghre9
A095_Q08_3.wav,9bala
A095_Q08_4.wav,Yeghre9 dheg wasif
A095_Q08_5.wav,Irou7 9bala s akham
A095_Q09_1.wav,9
A095_Q09_2.wav,9rib
A095_Q09_3.wav,9sadha
A095_Q09_4.wav,9rib adh il7e9 s akham
A095_Q09_5.wav,Irouh 9sadha s agherbaz
A097_Q10_1.wav,9
A097_Q10_2.wav,A9esser
A097_Q10_3.wav,A9efaf
A097_Q10_4.wav,Yett7ibi a9esser dh yimdhoukal-is
A097_Q10_5.wav,Win-th dh a9efaf dheg thmeghra
A097_Q11_1.wav,9
A097_Q11_2.wav,L9is
A097_Q11_3.wav,Thou9na
A097_Q11_4.wav,Yetef l9is n thsebath-is
A097_Q11_5.wav,Thou9na i th-ye9en mli7
A097_Q12_1.wav,9
A097_Q12_2.wav,Thala9oufth
A097_Q12_3.wav,Thel9a
A097_Q12_4.wav,Yettara thala9oufth i gma-s amou9ran
A097_Q12_5.wav,Youghedh thel9a n lkhit
A100_Q13_1.wav,9
A100_Q13_2.wav,Thi9ith
A100_Q13_3.wav,Sou9
A100_Q13_4.wav,Ala thi9ith waman i dh-yegran
A100_Q13_5.wav,Yettrou7ou gher sou9 sba7 zik
A100_Q14_1.wav,9
A100_Q14_2.wav,L7a9
A100_Q14_3.wav,Lebra9
A100_Q14_4.wav,Our dh-yeni kra ala l7a9
A100_Q14_5.wav,Dhefir lebra9 yettas-dh ra3dh
A100_Q15_1.wav,9
A100_Q15_2.wav,A39ou9
A100_Q15_3.wav,Le7ba9
A100_Q15_4.wav,Thekes a39ou9 n thebseltt
A100_Q15_5.wav,Thesekhlat le7ba9 i lmakla-s
A101_Q13_1.wav,9
A101_Q13_2.wav,Thi9ith
A101_Q13_3.wav,Sou9
A101_Q13_4.wav,Ala thi9ith waman i dh-yegran
A101_Q13_5.wav,Yettrou7ou gher sou9 sba7 zik
A101_Q14_1.wav,9
A101_Q14_2.wav,L7a9
A101_Q14_3.wav,Lebra9
A101_Q14_4.wav,Our dh-yeni kra ala l7a9
A101_Q14_5.wav,Dhefir lebra9 yettas-dh ra3dh
A101_Q15_1.wav,9
A101_Q15_2.wav,A39ou9
A101_Q15_3.wav,Le7ba9
A101_Q15_4.wav,Thekes a39ou9 n thebseltt
A101_Q15_5.wav,Thesekhlat le7ba9 i lmakla-s
A102_Q13_1.wav,9
A102_Q13_2.wav,Thi9ith
A102_Q13_3.wav,Sou9
A102_Q13_4.wav,Ala thi9ith waman i dh-yegran
A102_Q13_5.wav,Yettrou7ou gher sou9 sba7 zik
A102_Q14_1.wav,9
A102_Q14_2.wav,L7a9
A102_Q14_3.wav,Lebra9
A102_Q14_4.wav,Our dh-yeni kra ala l7a9
A102_Q14_5.wav,Dhefir lebra9 yettas-dh ra3dh
A102_Q15_1.wav,9
A102_Q15_2.wav,A39ou9
A102_Q15_3.wav,Le7ba9
A102_Q15_4.wav,Thekes a39ou9 n thebseltt
A102_Q15_5.wav,Thesekhlat le7ba9 i lmakla-s
A103_M01_1.wav,m
A103_M01_2.wav,Mager
A103_M01_3.wav,Mchet
A103_M01_4.wav,Imouger-dh le7bab-is dheg oubridh
A103_M01_5.wav,Themchet achekou7-is s thselakth
A103_M02_1.wav,m
A103_M02_2.wav,Meni
A103_M02_3.wav,Mekthi
A103_M02_4.wav,Yettmeni adh thekfou cheda fel-as
A103_M02_5.wav,Yemektha-dh lehdhour yema-s
A103_M03_1.wav,m
A103_M03_2.wav,Msel
A103_M03_3.wav,Amen
A103_M03_4.wav,Themsel-s aghroum a9ouran
A103_M03_5.wav,"Dh niya, Thettamen win yelan"
A104_M01_1.wav,m
A104_M01_2.wav,Mager
A104_M01_3.wav,Mchet
A104_M01_4.wav,Imouger-dh le7bab-is dheg oubridh
A104_M01_5.wav,Themchet achekou7-is s thselakth
A104_M02_1.wav,m
A104_M02_2.wav,Meni
A104_M02_3.wav,Mekthi
A104_M02_4.wav,Yettmeni adh thekfou cheda fel-as
A104_M02_5.wav,Yemektha-dh lehdhour yema-s
A104_M03_1.wav,m
A104_M03_2.wav,Msel
A104_M03_3.wav,Amen
A104_M03_4.wav,Themsel-s aghroum a9ouran
A104_M03_5.wav,"Dh niya, Thettamen win yelan"
A105_M03_1.wav,m
A105_M03_2.wav,Msel
A105_M03_3.wav,Amen
A105_M03_4.wav,Themsel-s aghroum a9ouran
A105_M03_5.wav,"Dh niya, Thettamen win yelan"
A107_M04_1.wav,m
A107_M04_2.wav,3emer
A107_M04_3.wav,3emedh
A107_M04_4.wav,Th3emer ledjwaz gher tharbouyth
A107_M04_5.wav,Our as-th3emedh ara imi theweth-ith
A107_M05_1.wav,m
A107_M05_2.wav,khemer
A107_M05_3.wav,soumeth
A107_M05_4.wav,thkhemer l9ech n wayethma-s
A107_M05_5.wav,thsoumeth thasoumtha n rich
A107_M06_1.wav,m
‪A107_M06_2.wav,Rdhem
A107_M06_3.wav,9wem
A107_M06_4.wav,therdhem seksou n na3ma
A107_M06_5.wav,ye9wem wayen thekhdhem
A108_M04_1.wav,m
A108_M04_2.wav,3emer
A108_M04_3.wav,3emedh
A108_M04_4.wav,Th3emer ledjwaz gher tharbouyth
A108_M04_5.wav,Our as-th3emedh ara imi theweth-ith
A108_M05_1.wav,m
A108_M05_2.wav,khemer
A108_M05_3.wav,soumeth
A108_M05_4.wav,thkhemer l9ech n wayethma-s
A108_M05_5.wav,thsoumeth thasoumtha n rich
A108_M06_1.wav,m
A108_M06_2.wav,Rdhem
A108_M06_3.wav,9wem
A108_M06_4.wav,therdhem seksou n na3ma
A108_M06_5.wav,ye9wem wayen thekhdhem
A109_M07_1.wav,m
A109_M07_2.wav,Rkem
A109_M07_3.wav,Sousem
A109_M07_4.wav,thedja aman almi rekmen
A109_M07_5.wav,thettsousoum ghef l7e9-is
A109_M08_1.wav,m
A109_M08_2.wav,khdhem
A109_M08_3.wav,Mett3amedh
A109_M08_4.wav,thekhdhem i wayen thezmer
A109_M08_5.wav,Yeweth-ith mett3emedh
A109_M09_1.wav,m
A109_M09_2.wav,Meden
A109_M09_3.wav,Mebla
A109_M09_4.wav,Oulach atas meden dhina
A109_M09_5.wav,Irou7 melba isourdhiyen
A110_M07_1.wav,m
A110_M07_2.wav,Rkem
A110_M07_3.wav,Sousem
A110_M07_4.wav,thedja aman almi rekmen
A110_M07_5.wav,thettsousoum ghef l7e9-is
A110_M08_1.wav,m
A110_M08_2.wav,khdhem
A110_M08_3.wav,Mett3amedh
A110_M08_4.wav,thekhdhem i wayen thezmer
A110_M08_5.wav,Yeweth-ith mett3emedh
A110_M09_1.wav,m
A110_M09_2.wav,Meden
A110_M09_3.wav,Mebla
A110_M09_4.wav,Oulach atas meden dhina
A110_M09_5.wav,Irou7 melba isourdhiyen
A111_M07_1.wav,m
A111_M07_2.wav,Rkem
A111_M07_3.wav,Sousem
A111_M07_4.wav,thedja aman almi rekmen
A111_M07_5.wav,thettsousoum ghef l7e9-is
A111_M08_1.wav,m
A111_M08_2.wav,khdhem
A111_M08_3.wav,Mett3amedh
A111_M08_4.wav,thekhdhem i wayen thezmer
A111_M08_5.wav,Yeweth-ith mett3emedh
A111_M09_1.wav,m
A111_M09_2.wav,Meden
A111_M09_3.wav,Mebla
A111_M09_4.wav,Oulach atas meden dhina
A111_M09_5.wav,Irou7 melba isourdhiyen
A112_M10_1.wav,m
A112_M10_2.wav,Moucha3
A112_M10_3.wav,Mkhalfa
A112_M10_4.wav,Moucha3 yisem-is dheg thalith-ni
A112_M10_5.wav,Thirga mkhalfa
A112_M11_1.wav,m
A112_M11_2.wav,Lma7el
A112_M11_3.wav,A9ermoudh
A112_M11_4.wav,Yewet-dh lma7el adh nrou7
A112_M11_5.wav,S9ef oukham-is s ou9ermoudh
A112_M12_1.wav,m
A112_M12_2.wav,Thaghemourth
A112_M12_3.wav,Thazmerth
A112_M12_4.wav,Yeweth afous-is a thghemourth n thewourth
A112_M12_5.wav,Thekfa thezmerth n yema
A113_M10_1.wav,m
A113_M10_2.wav,Moucha3
A113_M10_3.wav,Mkhalfa
A113_M10_4.wav,Moucha3 yisem-is dheg thalith-ni
A113_M10_5.wav,Thirga mkhalfa
A113_M11_1.wav,m
A113_M11_2.wav,Lma7el
A113_M11_3.wav,A9ermoudh
A113_M11_4.wav,Yewet-dh lma7el adh nrou7
A113_M11_5.wav,S9ef oukham-is s ou9ermoudh
A113_M12_1.wav,m
A113_M12_2.wav,Thaghemourth
A113_M12_3.wav,Thazmerth
