Call ID,Status,Corrected Transcription,Timestamp,Incident Type
Appelle 20.wav,corrected,"allo?..dqiqa bark aa werana werana allo?....an3am ...aqlagh wahid l'universite,avrid ittawin imellala,..avrid ittawin ar mellala?...ih wahid portail université jiha chamal..safi cauté sufel l pont ?..ih sufel lpont at3edi ih ...achu gellan?..une accident la moto wahi wayet urgent chwiya iblessi chwiya wayi..la moto wahi wachu?..moto wahi tomobile..daccord ok sufel l pont. ",2026-03-05T23:03:28.806766,accident_vehicular
Appelle 21.wav,corrected,"Himaya an3am? allo? ....Salam 3likoum.....Wa 3laykoum asalam.... Les pompiers n Kherrata?.... nevgayeth.... Ma3lich fkiyid numéro n Kherrata? ...Wa Dra3 el Gaid da ...Kherrata Kherrata....ketchi  n Dra3 el Gaid itegharette aa ? ...Aha, Kherrata exact.... marki ghourek 034 wayi n kherrata mayela lambulance n kherrata L'ambulance n Kherrata athan thefegh Dra3 el Gaid atpatientit  chwiya, d'accord? Ayih ma3lich. 0 034 ....18..18 ..51 21... 51 21. safi thefegh thura hachma th3awded thkechmed?... ih ihAya d'accord, saha ...saha. himaya allo allo ?...",2026-03-05T23:09:32.100910,unknown
Appelle 22.wav,corrected,"sidi ali lebhar il ya une femme enceinte.. An3am?... athan yiwth yidnegh theghli gher lqa3a, madabik ikoum tchewfouha... aniwa amkan g sidi ali lebhar, anta jiha? ....Wa7id dar ni3ma? Wa7id dar ni3ma ni kan kechmed sina ....anida?..wahid lycée ni kan kechmemd sina..wahi lycee sid ali lebhar? ..asseyed dachu  tura aa  occupée.",2026-03-05T23:15:05.819056,medical_emergency
Appelle 23.wav,corrected,"Allo... Anwa amkan?.... derguina n  la daira tve3 la daira avrid ni  ussawn,.... seni la daira itev3egh avrid dassawen? ...ih derguina daderguini...oumbe3 l'état ines amek? ...ittgami dived ittgami dived ghouri tomobil zmiregh ara thidedmegh C'est urgent  urgent mlih ... lihh tout de suite tout  de suite....daccord ih.",2026-03-05T23:48:16.961666,medical_emergency
Appelle 24.wav,corrected,"7imaya an3am....Allo?.. An3am ... Msalkhir, msalkhir. - aslama. - thella yiweth tmetoth tt3ich imanis deg lbarj n Diche sawne-d ifirmane, imssawen gel firma  la famille Wannoughène t3ich imaniss alors athan thehlek tlou3ayid thenayid la3iyas i  les pompier s3ighara numéro nsen. - Wachou  la commune? - Han? - Wachou la commune? - Commune Amizour. - Marki  numéro n les pompiers n oued oued Amizour. 034... 034 08... 034-kani? - Khati, 034 08...08 ..77 14 .. 77 14. - Très bien. - D'accord.",2026-03-11T16:16:33.909489,medical_emergency
Appelle 25.wav,corrected,"Accident moto hnaya  li lancenah meqbila  ya3wdou ijiw bark..... Bon, soufel l pont Aboudaw, yakhi?... Ma nehkich  ma nefhemch qbayliya....Fouq l'pont ta3 Aboudaw....Le pont ta3 kima jami3a.... Eh, ok rana jayin  sahit... Sahha.",2026-03-06T00:15:37.059077,accident_vehicular
Appelle 26.wav,corrected,"Allo?... Allo oui.... Salam 3likoum, les pompiers ? ...a3am ih .... a gla3nayak  mayla tzemrem adassem ar  El Kseur ? ...El Kseur akh amdeker numéro  n el Kseur la3iyassen .... agla3nayak .. marki numéro...034..034... 82..82..35 65... 35 65. Ya3tik sa7a  sa7it...sa7a.",2026-03-06T00:19:57.425059,unknown
Appelle 27.wav,corrected,"Allo?... Allo l7imaya an3am.... les pompiers?. Eh... Bon, aqlagh gvrid n l'b7ar, tech3el dayi g tomobil S'il vous plaît, g Bordj Attkemlem, avant Zoubia chwiya. - Avant Zoubia? - Eh. -ugendlu3an ara deja? -adayen  aqlar nefghed. - Aya d'accord saha .. Sa7a.",2026-03-06T00:23:39.269668,fire_vehicle
Appelle 28.wav,corrected,gla3nayak yiweth temgharth theghli g l'état civil teghli outezmirara attedou... anta l'état civil fithghareted kechi... L'état civil n Lakhmiss.... Lakhmiss?..... Lakhmiss... Donc Rue de la Liberté akken? ... welleh maslir ?....g l'hourriya.... An3am? gel hourriya l'état civil. Dar l baladiya n Lakhmiss..... Ah d'accord ok Rue de la Liberté ok .... Rue de la Liberté voilà  sa7it.... Saha adencheye3 l'ambulance.,2026-03-06T00:33:46.552316,medical_emergency
Appelle 29.wav,corrected,Protection Civile oui... [Silence],2026-03-06T00:40:23.685466,unknown
Appelle 30.wav,corrected," rouge Torno.... 40 logements  Torno yiwen ighli dina d'accord  ok tefra..  Aya  c'est l'urgence, sa7a... Saha.",2026-03-06T00:45:33.305323,unknown
Appelle 31.wav,corrected,"Salam alaykoum....Allo l'7imaya.... Salam alaykoum....salam warhmatou lah ...Khoya llah ya7efdek, git jabni hna  l'agence de sécurité,  l'hôpital Khelil Amrane. 3andi l'hypertension, 3andi l'tension, zid 3andi un petit sifflement de cœur, 3andi la fièvre, ma ne9derch ga3 nemchi, ga3 3adhami ga3 tdegdgu. Ki jabni lehna ma 7abouch ijewzouni hna f Khelil Amrane Galouk lazem trou7 l Sidi Ahmed 7atta win rani 9rib nti7....kifeh Amek? ...naniyid aa iwiyid l'agent de sécurité khedmer dayi g jute .... Eh tkhedmet g jute eh ... Oumb3ad iwyi l'agence de sécurité parce que aqeliyi chwiya 7awya.... Eh. Iwiniyid l'urgences ar dagi imi dewder ar dayi  tfir a ticket bach ad3edir nirassen comme quoi s3ir l'hypertension s3ir a dossier n daglaw  s3ir sifflement de cœur s3ir la fièvre Oumb3ad j'ai réclamé mon rien fait  neki aqlin dayi thura  neki n Sidi Aïch j'ai personne dagi ....fhimrara bon ketchi thelket wink ar   sbitar yakhi ? ... eh helker tfir lbon ... khati khati toura wina ketchi  rou7 rou7 la société inek dina matchi  Oumb3ad guman akeswanyin ner amek ? .... Guman guman même pas ayren ar dakhel walou....aweh atkechmet amek outketchemtara is3ara le droit akayi   sbitar n ddoula aka atrouhet ... J'ai réclamé il ma rien dit nirass aka khedmen i  les citoyens....normall ....oumb3ad iwesh nanak atrouhet ar  Sidi Ahmed.... aka inayakd atrouhet  ar dina zrighara neki.... aa zrighara iwesh aseyed aa toute facon noukni  ulach achou akend3el ganechtayi .... An3am ? ... nirakd zrira achou akend3el ganechtayi.... parce que sinrara noumrara iwanchtayi Les pompiers n sidi aich  akidawi l'ambulance akitfen sin sin.... eh ih aketfen dina g sbitar mais noukni  dayen okentawara ar sbitar ar wayet...machi gessbitar  parce que aqlin berra dina ... ih eh trouhet ar sbitar c'est bon aka ... eh ... aa atrouhet ar les urgences l'urgences c'est pour toul le monde. ...ruher ar Les urgences  Gumman... les urgences c'est pour toul monde....goumen ayi allah ... akss3edin akss3edin ...Ya3tik sa7a comme meme ... saha ...  Ya3tik sa7a. Aqlin   dina.",2026-03-06T14:24:23.693568,medical_emergency
Appelle 32.wav,corrected,"Dark el watani?... Eh.. ta3 wach?.... accident hadik ta3  Sidi Aïch bark.... Sidi Aïch? ....Eh, l'autoroute....W waqtach?.. Douka, actuellement douka rana sur place Hna kuna passager 7besna rak fahamni? ...Eh, wach kayen exactement à Hadarat? ...Wahed kichghol m blessi chwiya fi kura w hakadha majrouh, w mrid b sokar et tout.... Eh, accident ta3 wach? Moto wela véhicule? .....Camion, camion H100.....Camion wa7dou?.. Ah, la la, m3a wahed H100.... Wesh mn placa exactement?.... Sidi Aïch exactement hna en face Sidi Aïch, en face, chet, chet l'échangeur ta3 Remila, entoum  win entouma win?.... Hna Bejaia, hna Bejaia.... bejaia Remila chet  l'échangeur ta3 Remila... Eh.... Jiti tkamlou l'3aqba hadik yelgawna .... Ah win kayen win kayen hadik la trémie? Win kayen l'tunnel? ....wash kayen ? ....Tunnel? Tunnel, tunnel.....La la mor l'tunnel lehna lehna... Ki tji mala l'Elmathen Timezrit? ...Jiha hadik eh.... D'accord donc d'accord a chef d'accord....Ay goulhoum  yezerbou bark, seyed rahou  mrid b sokar  3labalak....Eh d'accord ih.",2026-03-06T14:37:15.077616,accident_vehicular
Appelle 33.wav,corrected,"S1: Bgayet. S2: Allô, raghak chmini  di Boumled, ns3a grave l'primaire. S1: dachou ilan ? S2: nes3a ighliyi yiwen din ghourner chemini  Boumlal. S1: Village Boumlal? S2: Ih grave ih grave. S1: Amek grave? Amek ighli? S2: iss3a  les crises des jours yakan. S1: c'est un pileptique? S2: eh athen ighli din. S1: g ubrid negh g kham? S2: g ubrid, S1:g ubrid zath  washo?... S2: l'primaire, ijer7ed  kulech. S1: L'primaire? S2: Eh S1: D'accord a seyed  Ok.",2026-03-06T15:22:41.656873,medical_emergency
Appelle 34.wav,corrected,"oui ...an3am ... tneqlav yiweth tomobil dayi g ouadass  g tqenterth ni  ...ih athan nefghed nefghed ar ghores aka ... eh qwant imejru7en dina sa7it ... ch7al i gellan les blessés nni  dinna? twalad dina ?  - dand g 7 didsen g tomobil agini l'Echané, mais achauffeur nni twalar tochi  ragh amezoughis chwiya, snat teqchichine touchint  chwiya, ma tametouth nni tgama tgama teker gel qa3a. - mais  Tsema dekwaled tema teqim kan gel qa3a  -khati dekwalen dekwalend - Akhi tomobil  aten g ubrid kan ? tomobil ni therara ? - khati teghli zdakhel tqenterth  - Amek? - teghli zdakhel tqenterth  - Teghli ? teghli zdaw ubrid imala - eh. - D'accord, d'accord, athen aqlagh nteddud ib3ad  kan chwiya, aqlagh nteddud d'accord -  d'acord sa7it ",2026-03-06T16:16:05.641795,accident_vehicular
Appelle 35.wav,corrected,"Allo-Salam alikoum. - Wa3likoum salam warahmatu Allah l'7imaya. - Les pompiers? Nes3a yiwen yeghli daha g   Saint-Tivi n Kherrata. - Yiwen yeghli g Saint-Tivi n Kherrata? - Ah athen  dag g Kherrata, yeghli wahid aa  Saint-Tivi Kherrata, Souq el-Tnine - Aha mi aqlik gharted i Bgayeth? - 3eytasen gla3nayak athen yeghli  yiwen daha g Saint-Tivi gla3nayak slehqasen a message. - eh Aniwa amkan exact? Saint-Tivi? - Saint-Tivi n Kherrata, Kherrata Souq el-Tnine. - Kherrata Souq el-Tnine, machi tin n Seddouq? - Aha! Machi tin n bgayeth tin n Kherrata Souq el-Tnine. - D'accord eh , saha. - 3ait l'pompiers. - Oui.",2026-03-06T16:29:17.184405,medical_emergency
Appelle 36.wav,corrected,"Allo? ....Allo? ..An3am oui... Salam 3likoum.... Salam wa rahmatoullah... Khoya 3endna problème ta3 l'inondation douq foq les compteurs ta3 ldaw.... 3endkoum problème? ...Wah rah lma issil foug les compteurs ta3 ldaw fel placard.....Win exact, win? ...7naya f Rmila....Rmila, Sidi Aïch? ...Sidi Aïch  wah 3end les quais l'fouq Bloc G.... En face l'école hadik ta3 les gendarmerie ?... La, 7naya l'foug avant l'école 7naya 3end les quais..... Les quais?... Wah 3end les quais.... Winna l'bloc? ...Bloc G. 7na 3end les bâtiments nettla3.... D'accord.",2026-03-06T16:36:45.133342,other
Appelle 37.wav,corrected,"L7imaya n3am allo...kayen l'accident la  circulation f'CW 43, Sumi, au niveau Ruche-Noire après le mécanicien en venant de Toudja. ....Toudja? ...Ah? ...Abrid n Toudja? ...an3am ih ... Les blessés lan aa? ....Wa3limrara agma neki lir ghesber tedour  gher sbitar azregh aqchichiw   alors acamion ineqlab  dinna....D'accord sahit agma d'accord.... La gendarmerie déjà informé...D'accord barak allahu fik sahit....fika baraka.",2026-03-06T16:42:51.323468,accident_vehicular
Appelle 38.wav,corrected,"Allo l7imaya? - Oui- dachou dachou tebrit ? - S'il vous plaît  ness3a yiweth  teqchichth thella normal d9i9aa kan 3ujen ifassniss ditarniss , uthezmirara meme pas attved thella theqim uthezmirara meme pas attved . - Convulsé? Anida l'adresse anida? - Sarwal therga ouzemour - sarwal anita ljiha wahi  t7anut ni  wahi l'Elya7i?. - ta7anut ni l'Elya7i aternut chwiya atafet la descend ni -chouf  l'premier impasse ni  ner le deuxième impasse? - Premier...- Premier impasse donc  wa7id les Chabbounni,  riya7i dhinna imsawen? - khati khati, ttallitara  imsawen tezrit ta7anut nni.... ih .... aternut atteddut chwiya rzath atafet a ...-.l'vulcanisateur-nni. - O3limrara ma ila tessnet ila  dina yiwen électricité auto? atatret wahi ou3limrara ma ila atkhem les amom ikel   - eh eh les amom wahid ighzer nni ? anda ilan imendil ?  ..Wa7id ighzer nni  atafet deux chemins, atafet yiwen  la piste, en tout cas d la piste, alid attafet akham  imoug  blanc, da3layan blanc. - Wachu la famille? Wachu u la famille? - Smaili,  ouhentessintara 3elmer oussintara Smaili. - Smaili...-lmouhim - Ila hed adi3as dhinna? Ur tqeliqara , ila 7ed adi3assen dhinna?. - ih Tura attafet  thaqchicht berra. - C'est bon, thoura amdchey3er  l'ambulance, ok. - D'accord, sa7it.",2026-03-06T19:48:04.312685,medical_emergency
Appelle 39.wav,corrected,"Allo? - Oui les pompiers Bgayet an3am. - Allo, sba7 lkhir Les pompiers? - An3am les pompiers n  Bgayet. -  aki3eyech rebi tzemrem atrouhem attasem ar dayi  Sarwal thaghzuyth  watalim wa7ed n 500 mètres athen din umghar uzmiren ara athawin ar sbitar athen  .. - Wallah aseyed tura ness3ara   les ambulances, nsa3a yi ocupé mara, d libérin kan ma trajum. - Dayni stationner ma tliberid s Sarwal, abrid ni n  l'université, ar Sarwal, isemis Sarwal i wamkan ayi atten din   la piste ni attalit ya3ni  l'godran chwiya  Kas athawn ar  sbitar aka . - aseyed wlach l'ambulance thoura oness3ara les ambulance  ... eh  assi3el rebi tawil d'accord ih inchallah  -patientit kan ad libérin l'ambulances. - D'accord nchallah. - Sa7it agma, sa7a.",2026-03-06T19:59:46.203656,medical_emergency
Appelle 40.wav,corrected,"ozmirnara atawin ar sbitar ilaq attawin   zmirnara atedmen meme pas s tonobil oulaheditt ...anida asseyed ? atpatientit chwuya atlébiri l'ambulance anida ? .... athen g l'université zaret l'université ar sarwal sarwal atalit ... Anida Sarwel adalir anita  l'arrêt première impasse ner deuxième impasse... Lantt deux impasse akenni  wa7 akken ... ila premier impasse wahi tella la superette nni ..boulkhedra nni  khati khati  akina Boulkhedra ni  Boulkhedra ni   atafet  la piste ni ta3wej  la promotion ni abrid nni itwagh  ar Sarwel anda lant chdjer ni n sarwel ni bedat aka .... Wa7id ya7i ila  premier impasse ketchi deuxième impasse... ih deuxieme matchi anda la superette ni aternout ar zath ...ih ih premier  impasse tassawent nni   deuxieme impasse anda ila caniboni itwagh dina ... caniboni irez  dina  voila caniboni atalit ...anda thela la promotion tamzwarth.. Amrouche ni... machi la promotion ni attalit akd3assen ... anida asseyed anida ?anida g Iqoubab?... Khati ttalitara ar  iqoubab wahed n  500m-700m à peu près atafet  abrid ni ibta ikel iptath le promoteur ithikhedmen ali kan akd3assen dina... ...wachou  la famille? wachou ? .... la famille Hanachi Hanachi ... Hanachi ? ... eh Hanachi Ali aka aki3eyech rebi  wallah azgum meme athen dina ghouress tbib toura dina  mayela  c'est pas possible matchi tonobile is3anara s3an mais c'est pas possiible athedmen akayi  ... wahed 5 minutes kan atlibiri  l'ambulance parce que ghrand izgeli yakan , ketchi ighran yakan ? ...eh ghrighed ...eh ad libérint kan l'ambulance ...yakhi tfehmet anida aki3yech rebi  ... fkiyid kan numero ynek n telephone... rouh marki   07... zdaw les iboud7ouche  yakhi ontel7aqara les iboudhouche ....les iboudhouche  bedet dina kan ar les iboudhouche dina akd3asser  ar les iboudhouche aki3yech rebi .. ar les iboudhouche  bedet a ? ... eh dina les iboudhouche  deja ghournar lhara ni n les iboudhouche ..en face aa ? dina kan zathes aka ...d'accord ,d'accord   wahed 5 minutes kan dikchem l'ambulance... wichqa ma3lishe  khati nirak wellah tonobil aten dina mais dachou c'est pas possible  parce que  dameqran ... achou thiwghen wayi eqbel  ? ...roughess wahed chher  aparament dameqran 70 sna ...d'accord ok . sa7a .. sa7a.",2026-03-06T20:40:41.399993,medical_emergency
Appelle 41.wav,corrected," les pompiers yakh...  an3am 3eslama ynek.... Allah yeselmek. G l3anayak ,  neki mazouzi ikhedmen akeni g ireyahen.. ih mazouzi ikhedmen g iryahen .. ah, g l3anayak , yiwen l'camion idhem  argaz ayi zdakhel obarage .... tewthath tonobil ?... Iyeh, idehmith su camion i3evssith s l'camion ...i3efsith ?..... Yakhi les pompiers?... Iyeh, i3evsith  nagh amek? ifhimmghara?... Yakhi les pompiers? Iyeh, d'les pompiers, iyeh....G l3anayak tezrit anda tekhedmem dayi g iryahen ar mazouzi...... ih... athane yiwen oussumi idhem acamion ar  tawourthiw yakan ...., ah donc d'accord ih ...,ahya gma arwah rapide balak adimne3 ...... D'accord .",2026-03-06T22:24:46.773024,accident_vehicular
Appelle 42.wav,corrected,"Allo?  Salam walikoum.....,  Salam, les pompiers?....., An3am....., eee theghli yiweth teqchicht dayi une3lim ma theder negh themouth dakhel la garre routière.......,  Aqlagh nttedud ar din...., Saha, saha......., An3am?...., Allo, oui....,  An3am?....,  oui el 7imaya akhi ?....,  An3am atan yiweth la damme dayi..., a9elagh ntedoud a la garre routiere  tura adnkchem sahit ...,  an3am?...., an3am.",2026-03-06T22:31:24.893976,medical_emergency
